analysis_group,run_id,evaluated_genomes_milestone,species_count
c2_parallel_2w,20260411_0006,900,29.0
c2_parallel_2w,20260411_0006,1000,36.0
c2_parallel_2w,20260411_2027,0,14.0
c2_parallel_2w,20260411_2027,100,14.0
c2_parallel_2w,20260411_2027,200,21.0
c2_parallel_2w,20260411_2027,300,4.0
c2_parallel_2w,20260411_2027,400,6.0
c2_parallel_2w,20260411_2027,500,5.0
c2_parallel_2w,20260411_2027,600,34.0
c2_parallel_2w,20260411_2027,700,42.0
c2_parallel_2w,20260411_2027,800,7.0
c2_parallel_2w,20260411_2027,900,9.0
c2_parallel_2w,20260411_2027,1000,7.0
c2_parallel_2w,20260412_1345,0,14.0
c2_parallel_2w,20260412_1345,100,14.0
c2_parallel_2w,20260412_1345,200,5.0
c2_parallel_2w,20260412_1345,300,17.0
c2_parallel_2w,20260412_1345,400,19.0
c2_parallel_2w,20260412_1345,500,31.0
c2_parallel_2w,20260412_1345,600,12.0
c2_parallel_2w,20260412_1345,700,7.0
c2_parallel_2w,20260412_1345,800,43.0
c2_parallel_2w,20260412_1345,900,8.0
c2_parallel_2w,20260412_1345,1000,51.0
c2_parallel_4w,20260414_1739,0,12.0
c2_parallel_4w,20260414_1739,100,12.0
c2_parallel_4w,20260414_1739,200,13.0
c2_parallel_4w,20260414_1739,300,18.0
c2_parallel_4w,20260414_1739,400,22.0
c2_parallel_4w,20260414_1739,500,24.0
c2_parallel_4w,20260414_1739,600,23.0
c2_parallel_4w,20260414_1739,700,28.0
c2_parallel_4w,20260414_1739,800,37.0
c2_parallel_4w,20260414_1739,900,38.0
c2_parallel_4w,20260414_1739,1000,41.0
c2_parallel_4w,20260414_2200,0,12.0
c2_parallel_4w,20260414_2200,100,12.0
c2_parallel_4w,20260414_2200,200,20.0
c2_parallel_4w,20260414_2200,300,8.0
c2_parallel_4w,20260414_2200,400,18.0
c2_parallel_4w,20260414_2200,500,19.0
c2_parallel_4w,20260414_2200,600,23.0
c2_parallel_4w,20260414_2200,700,29.0
c2_parallel_4w,20260414_2200,800,30.0
c2_parallel_4w,20260414_2200,900,29.0
c2_parallel_4w,20260414_2200,1000,29.0
c2_parallel_4w,20260415_0150,0,12.0
c2_parallel_4w,20260415_0150,100,12.0
c2_parallel_4w,20260415_0150,200,17.0
c2_parallel_4w,20260415_0150,300,19.0
c2_parallel_4w,20260415_0150,400,21.0
c2_parallel_4w,20260415_0150,500,27.0
c2_parallel_4w,20260415_0150,600,29.0
c2_parallel_4w,20260415_0150,700,17.0
c2_parallel_4w,20260415_0150,800,20.0
c2_parallel_4w,20260415_0150,900,16.0
c2_parallel_4w,20260415_0150,1000,20.0
c2_parallel_4w,20260415_0605,0,12.0
c2_parallel_4w,20260415_0605,100,12.0
c2_parallel_4w,20260415_0605,200,17.0
c2_parallel_4w,20260415_0605,300,21.0
c2_parallel_4w,20260415_0605,400,21.0
c2_parallel_4w,20260415_0605,500,33.0
c2_parallel_4w,20260415_0605,600,19.0
c2_parallel_4w,20260415_0605,700,37.0
c2_parallel_4w,20260415_0605,800,37.0
c2_parallel_4w,20260415_0605,900,23.0
c2_parallel_4w,20260415_0605,1000,41.0
c2_parallel_4w,20260415_1002,0,12.0
c2_parallel_4w,20260415_1002,100,12.0
c2_parallel_4w,20260415_1002,200,17.0
c2_parallel_4w,20260415_1002,300,7.0
c2_parallel_4w,20260415_1002,400,15.0
c2_parallel_4w,20260415_1002,500,41.0
c2_parallel_4w,20260415_1002,600,46.0
c2_parallel_4w,20260415_1002,700,47.0
c2_parallel_4w,20260415_1002,800,9.0
c2_parallel_4w,20260415_1002,900,50.0
c2_parallel_4w,20260415_1002,1000,53.0
c2_parallel_4w,20260415_1350,0,12.0
c2_parallel_4w,20260415_1350,100,12.0
c2_parallel_4w,20260415_1350,200,16.0
c2_parallel_4w,20260415_1350,300,15.0
c2_parallel_4w,20260415_1350,400,24.0
c2_parallel_4w,20260415_1350,500,22.0
c2_parallel_4w,20260415_1350,600,31.0
c2_parallel_4w,20260415_1350,700,30.0
c2_parallel_4w,20260415_1350,800,32.0
c2_parallel_4w,20260415_1350,900,36.0
c2_parallel_4w,20260415_1350,1000,30.0
c2_parallel_4w,20260415_1749,0,12.0
c2_parallel_4w,20260415_1749,100,12.0
c2_parallel_4w,20260415_1749,200,7.0
c2_parallel_4w,20260415_1749,300,11.0
c2_parallel_4w,20260415_1749,400,27.0
c2_parallel_4w,20260415_1749,500,10.0
c2_parallel_4w,20260415_1749,600,43.0
c2_parallel_4w,20260415_1749,700,45.0
c2_parallel_4w,20260415_1749,800,48.0
c2_parallel_4w,20260415_1749,900,52.0
c2_parallel_4w,20260415_1749,1000,52.0
