cohort,mds1,mds2,generation,toxicity
seq,-0.203100,-0.278095,28,0.019000
seq,-0.049869,-0.093069,28,0.029100
seq,-0.153613,-0.258283,28,0.022000
seq,-0.067642,-0.076820,28,0.025900
seq,-0.185310,-0.270722,28,0.029600
seq,0.483020,-0.163731,28,0.035000
seq,-0.275659,-0.279797,28,0.026500
seq,0.029099,-0.431698,14,0.032400
seq,-0.052536,-0.195959,42,0.050100
seq,0.195669,0.106611,42,0.049800
seq,0.003127,0.262236,42,0.081600
seq,-0.018477,0.162375,42,0.024600
seq,-0.135193,-0.090792,42,0.027600
seq,0.084317,0.179942,48,0.033100
seq,0.126532,0.152816,48,0.012900
seq,0.578212,-0.056628,0,0.016800
seq,0.677290,-0.261117,0,0.097000
seq,0.409681,-0.174161,7,0.026700
seq,0.343108,-0.379067,7,0.029100
seq,0.329967,-0.137458,7,0.028100
seq,0.548055,-0.138733,7,0.015300
seq,0.560247,-0.167477,14,0.031300
seq,0.384709,0.399500,16,0.013300
seq,0.701861,-0.322696,18,0.021200
seq,0.699694,-0.304931,18,0.012400
seq,0.682446,-0.185957,18,0.027900
seq,0.637422,-0.194755,18,0.032400
seq,0.605831,-0.267847,21,0.075300
seq,0.660105,-0.227022,21,0.028500
seq,0.254551,-0.279732,40,0.074500
seq,-0.091679,0.500586,48,0.029300
seq,-0.070297,-0.002465,1,0.027700
seq,0.115462,0.093989,18,0.065800
seq,0.135927,-0.325429,9,0.024600
seq,-0.111585,-0.144977,18,0.023100
seq,0.070539,0.006475,8,0.025100
seq,0.583868,-0.044375,0,0.051100
seq,0.533608,0.038265,0,0.058500
seq,0.653540,-0.063034,2,0.048300
seq,0.445332,-0.076439,2,0.056800
seq,0.466943,-0.070472,2,0.035700
seq,-0.102183,0.516814,2,0.229800
seq,0.449962,0.124617,3,0.110400
seq,0.344661,0.218011,3,0.059200
seq,0.576081,0.329742,4,0.037800
seq,0.075821,0.139896,0,0.022000
seq,-0.368219,0.041514,0,0.041700
seq,-0.438462,0.137596,0,0.068200
seq,0.016817,0.367946,0,0.013000
seq,-0.079258,0.236334,1,0.018600
seq,-0.628911,0.237994,1,0.183600
seq,-0.232586,0.253301,39,0.018300
seq,-0.711725,-0.148053,8,0.005100
